职位,城市,区域,街道,公司,薪资,经验,学历,领域,融资,规模,技能要求,基本福利
Python GUI工程师（实习）,广州,南沙区,黄阁,鹰猎者科技,80-110元/天,,大专,信息安全,不需要融资,不需要融资,MySQLPython,意外险节假日加班费每年免费体检绩效奖金带薪年假补充医疗保险五险一金工作电脑法定节假日三薪员工旅游年终奖零食下午茶
【OD】ai软件开发 - Python,上海,青浦区,金泽,华为科技有限公司,15-30K·14薪,经验不限,本科,通信/网络设备,不需要融资,不需要融资,GolangJavaC++C分布式经验机器学习经验深度学习AINumpyPyTorchDockerPythonKubernetesTensorFlow,节日福利企业年金加班补助意外险补充医疗保险免费班车高温补贴绩效奖金年终奖法定节假日三薪员工旅游夜班补助生日福利节假日加班费零食下午茶股票期权带薪年假五险一金定期体检团建聚餐
Python MATLAB 高级工程师,大连,甘井子区,辛寨子,大连银凌旭辉物流,70-260元/天,3-5年,本科,其他生活服务,,,爬虫经验远程办公时间自由其他Python,缴纳五险
Python AI工程师助理（应届生）,成都,武侯区,中和,探真科技,10-12K,在校/应届,本科,信息安全,A轮,A轮,PythonPyTorchTensorFlowMySQLRedis机器学习经验团队协作接受出差,股票期权年终奖定期体检五险一金
"AI 高级工程师（LLM, AIGC, Python ）",上海,静安区,静安寺,汉器,20-40K,5-10年,本科,企业服务,天使轮,天使轮,PythonSparkAIGCLLM,
python Web 开发工程师,深圳,南山区,科技园,乘游科技,12-23K·13薪,3-5年,本科,游戏,A轮,A轮,Python,团建聚餐年终奖餐补全勤奖员工旅游带薪年假节假日加班费底薪加提成零食下午茶绩效奖金五险一金
Python AI 应用开发工程师,上海,闵行区,莘庄,聊聊科技,15-25K,1-3年,本科,互联网,不需要融资,不需要融资,PythonKubernetesElasticsearchKafkaDockerDjangoMySQLRedisMongoDBPostgreSQLLinux开发/部署经验分布式经验微服务经验机器学习经验接受实习/在校生投递Agent,带薪年假节日福利五险一金员工旅游餐补定期体检年终奖
【OD】ai软件开发 - Python,上海,青浦区,金泽,华为,15-30K·14薪,经验不限,本科,计算机软件,不需要融资,不需要融资,Golang多模态C++CPyTorch深度学习RAG后端开发PythonKubernetes,企业年金保底工资补充医疗保险带薪年假年终奖夜班补助节假日加班费意外险股票期权零食下午茶加班补助定期体检绩效奖金法定节假日三薪团建聚餐员工旅游免费班车节日福利交通补助五险一金
Python AI 大模型开发,济南,历城区,济钢,山东麦德森,20-30K,5-10年,本科,文化艺术/娱乐,未融资,未融资,爬虫经验PostgreSQLMySQL机器学习经验RedisPython,六险一金加班补助全勤奖五险一金员工旅游年终奖定期体检补充医疗保险带薪年假交通补助免费午餐
Python & LLM 数据分析与开发工程师,南宁,青秀区,民族大道,广西邕之泰,7-11K,3-5年,本科,农/林/牧/渔,不需要融资,不需要融资,架构设计经验Python,免费班车意外险社保五险节日福利团建聚餐宿舍有空调包住有无线网包吃免费工装
Python 开发,成都,双流区,华阳,四川紫气东来科技,11-22K,经验不限,学历不限,计算机软件,不需要融资,不需要融资,PyTorchDocker机器学习经验MySQLMongoDB,年终奖五险一金绩效奖金
Python SRE 初级工程师,成都,武侯区,桂溪,成都三秋科技,4-8K,经验不限,高中,互联网,,,DockerDjangoRedisPythonFlask,
Python AI,广州,天河区,五山,即合智能科技,6-11K,3-5年,大专,计算机软件,天使轮,天使轮,PythonC++TensorFlowMySQLRedis机器学习经验,五险一金底薪加提成绩效奖金
Matlab/Simulink/Python,北京,朝阳区,望京,大同市瀚博科技,300-350元/时,1-3年,硕士,计算机软件,,,GolangJava分布式经验DjangoMySQLLinux开发/部署经验量化交易开发经验PythonKubernetes,
Python 算法工程师,福州,闽侯县,新上街,闽侯县上街九八五...,4900-5000元/时,经验不限,博士,学术/科研,,,团队管理经验PyTorch分布式经验机器学习经验其他架构设计经验Linux开发/部署经验PythonTensorFlow,
