职位,城市,区域,街道,公司,薪资,经验,学历,领域,融资,规模,技能要求,基本福利
Python GUI工程师（实习）,广州,南沙区,黄阁,鹰猎者科技,80-110元/天,,大专,信息安全,不需要融资,0-20人,"MySQL,Python","意外险,节假日加班费,每年免费体检,绩效奖金,带薪年假,补充医疗保险,五险一金,工作电脑,法定节假日三薪,员工旅游,年终奖,零食下午茶"
【OD】ai软件开发 - Python,上海,青浦区,金泽,华为科技有限公司,15-30K·14薪,经验不限,本科,通信/网络设备,不需要融资,10000人以上,"Golang,Java,C++,C,分布式经验,机器学习经验,深度学习,AI,Numpy,PyTorch,Docker,Python,Kubernetes,TensorFlow","节日福利,企业年金,加班补助,意外险,补充医疗保险,免费班车,高温补贴,绩效奖金,年终奖,法定节假日三薪,员工旅游,夜班补助,生日福利,节假日加班费,零食下午茶,股票期权,带薪年假,五险一金,定期体检,团建聚餐"
【OD】ai软件开发 - Python,上海,青浦区,金泽,华为,15-30K·14薪,经验不限,本科,计算机软件,不需要融资,10000人以上,"Golang,多模态,C++,C,PyTorch,深度学习,RAG,后端开发,Python,Kubernetes","企业年金,保底工资,补充医疗保险,带薪年假,年终奖,夜班补助,节假日加班费,意外险,股票期权,零食下午茶,加班补助,定期体检,绩效奖金,法定节假日三薪,团建聚餐,员工旅游,免费班车,节日福利,交通补助,五险一金"
Python 研发日常实习生-AI  (MJ043493),北京,昌平区,回龙观,好未来,200-240元/天,,本科,互联网,已上市,10000人以上,,"健身房,不定期培训,节日福利,带薪年假,团建聚餐,餐补,定期体检,补充医疗保险,年终奖,五险一金"
Python MATLAB 高级工程师,大连,甘井子区,辛寨子,大连银凌旭辉物流,70-260元/天,3-5年,本科,其他生活服务,,20-99人,"爬虫经验,远程办公,时间自由,其他,Python",缴纳五险
Python AI工程师助理（应届生）,成都,武侯区,中和,探真科技,10-12K,在校/应届,本科,信息安全,A轮,20-99人,"Python,PyTorch,TensorFlow,MySQL,Redis,机器学习经验,团队协作,接受出差","股票期权,年终奖,定期体检,五险一金"
"AI 高级工程师（LLM, AIGC, Python ）",上海,静安区,静安寺,汉器,20-40K,5-10年,本科,企业服务,天使轮,20-99人,"Python,Spark,AIGC,LLM",
python Web 开发工程师,深圳,南山区,科技园,乘游科技,12-23K·13薪,3-5年,本科,游戏,A轮,20-99人,Python,"团建聚餐,年终奖,餐补,全勤奖,员工旅游,带薪年假,节假日加班费,底薪加提成,零食下午茶,绩效奖金,五险一金"
Python AI 大模型开发,济南,历城区,济钢,山东麦德森,20-30K,5-10年,本科,文化艺术/娱乐,未融资,500-999人,"爬虫经验,PostgreSQL,MySQL,机器学习经验,Redis,Python","六险一金,加班补助,全勤奖,五险一金,员工旅游,年终奖,定期体检,补充医疗保险,带薪年假,交通补助,免费午餐"
Python & LLM 数据分析与开发工程师,南宁,青秀区,民族大道,广西邕之泰,7-11K,3-5年,本科,农/林/牧/渔,不需要融资,1000-9999人,"架构设计经验,Python","免费班车,意外险,社保五险,节日福利,团建聚餐,宿舍有空调,包住,有无线网,包吃,免费工装"
